Product,manufacuringCost,transCost
20in Monitor,32.42,7.31
27in 4K Gaming Monitor,127.02,7.09
27in FHD Monitor,68.37,8.61
34in Ultrawide Monitor,108.18,8.25
AA Batteries (4-pack),1.11,2.43
AAA Batteries (4-pack),1.47,2.89
Apple Airpods Headphones,64.6,6.97
Bose SoundSport Headphones,33.76,0.64
Flatscreen TV,135.17,9.94
Google Phone,246.83,7.87
iPhone,182.98,7.47
LG Dryer,249.38,5.56
LG Washing Machine,255.71,2.52
Lightning Charging Cable,5.95,7.54
Macbook Pro Laptop,705.51,9.04
ThinkPad Laptop,338.15,1.17
USB-C Charging Cable,5.18,3.04
Vareebadd Phone,122.29,2.97
Wired Headphones,3.95,4.76
